x,count
2678,132
2679,132
2680,120
2681,120
2682,120
2683,120
2684,290
2685,290
2686,290
2687,290
2688,290
2689,120
2690,120
2691,120
2692,120
2693,20
2694,20
2695,20
2696,20
2697,20
2698,808
2699,808
2700,808
2701,808
2702,56
2703,56
2704,56
2705,56
2706,56
2707,56
2708,56
2709,56
2710,40
2711,40
2712,40
2713,40
2714,40
2715,40
2716,40
2717,40
2718,808
2719,808
2720,808
2721,808
2722,105
2723,105
2724,105
2725,105
2726,105
2727,105
2728,105
2729,808
2730,808
2731,808
2732,808
2733,248
2734,248
2735,248
2736,248
2737,808
2738,808
2739,808
2740,808
2741,116
2742,116
2743,116
2744,116
2745,116
2746,116
2747,116
2748,116
2749,808
2750,808
2751,808
2752,808
2753,85
2754,85
2755,85
2756,85
2757,85
2758,6
2759,6
2760,6
2761,6
2762,6
2763,6
2764,290
2765,290
2766,290
2767,290
2768,290
2769,5
2770,5
2771,5
2772,5
2773,5
2774,808
2775,808
2776,808
2777,808
2778,808
2779,808
2780,808
2781,808
2782,156
2783,156
2784,156
2785,156
2786,156
2787,156
2788,248
2789,248
2790,248
2791,248
2792,315
2793,315
2794,315
2795,315
2796,315
2797,290
2798,290
2799,290
2800,290
2801,290
2802,10
2803,10
2804,10
2805,10
2806,10
2807,315
2808,315
2809,315
2810,315
2811,315
2812,248
2813,248
2814,248
2815,248
2816,808
2817,808
2818,808
2819,808
2820,100
2821,100
2822,100
2823,100
2824,100
2825,8
2826,8
2827,8
2828,8
2829,8
2830,8
2831,8
2832,8
2833,290
2834,290
2835,290
2836,290
2837,290
2838,248
2839,248
2840,248
2841,248
2842,315
2843,315
2844,315
2845,315
2846,315
2847,315
2848,315
2849,315
2850,315
2851,315
2852,80
2853,80
2854,80
2855,80
2856,108
2857,108
2858,108
2859,108
2860,108
2861,108
2862,7
2863,7
2864,7
2865,7
2866,7
2867,7
2868,7
2869,808
2870,808
2871,808
2872,808
2873,808
2874,808
2875,808
2876,808
2877,14
2878,14
2879,14
2880,14
2881,14
2882,14
2883,14
2884,10
2885,10
2886,10
2887,10
2888,10
2889,808
2890,808
2891,808
2892,808
2893,808
2894,808
2895,808
2896,808
2897,105
2898,105
2899,105
2900,105
2901,105
2902,105
2903,105
2904,132
2905,132
2906,132
2907,132
2908,132
2909,132
2910,54
2911,54
2912,54
2913,54
2914,54
2915,54
2916,24
2917,24
2918,24
2919,24
2920,24
2921,24
2922,808
2923,808
2924,808
2925,808
2926,63
2927,63
2928,63
2929,63
2930,63
2931,63
2932,63
2933,120
2934,120
2935,120
2936,120
2937,290
2938,290
2939,290
2940,290
2941,290
2942,808
2943,808
2944,808
2945,808
2946,105
2947,105
2948,105
2949,105
2950,105
2951,105
2952,105
2953,808
2954,808
2955,808
2956,808
2957,808
2958,808
2959,808
2960,808
2961,156
2962,156
2963,156
2964,156
2965,156
2966,156
2967,808
2968,808
2969,808
2970,808
2971,20
2972,20
2973,20
2974,20
2975,20
2976,156
2977,156
2978,156
2979,156
2980,156
2981,156
2982,156
2983,156
2984,156
2985,156
2986,156
2987,156
2988,85
2989,85
2990,85
2991,85
2992,85
2993,808
2994,808
2995,808
